List,Value,Text
W4.3,1,Available
W4.3,2,Undetectable
W4.3,8,Client doesn’t know
W4.3,9,Client prefers not to answer
W4.3,99,Data not collected
W4.B,1,Medical Report
W4.B,2,Client Report
W4.B,3,Other
W5.1,1,Able to maintain the housing they had at project entry
W5.1,10,Deceased
W5.1,2,Moved to new housing unit
W5.1,3,Moved in with family/friends on a temporary basis
W5.1,4,Moved in with family/friends on a permanent basis
W5.1,5,Moved to a transitional or temporary housing facility or program
W5.1,6,Client became homeless – moving to a shelter or other place unfit for human habitation
W5.1,7,Jail/prison
W5.1,8,Client doesn’t know
W5.1,9,Client prefers not to answer
W5.1,99,Data not collected
W5.AB,1 ,Without a subsidy 
W5.AB,2 ,With the subsidy they had at project entry 
W5.AB,3 ,With an on-going subsidy acquired since project entry 
W5.AB,4 ,But only with other financial assistance 
W5.AB,11 ,With on-going subsidy 
W5.AB,12 ,Without an on-going subsidy 
